Date,Day_of_Week,Is_Revision_Date,Global_Oil_Trend,Prev_Change,Price,Change_Amount,Label
2019-01-01,Tue,1,-0.5,0,110.0,0.0,Positive
2019-06-01,Sat,1,1.2,4,118.0,4.0,Negative
2020-03-01,Sun,1,-4.5,-20,95.0,-20.0,Positive
2020-04-15,Wed,1,-6.0,-15,80.0,-15.0,Positive
2021-01-01,Fri,1,2.5,12,110.0,12.0,Negative
2021-05-15,Sat,1,3.0,8,125.0,8.0,Negative
2022-01-01,Sat,1,4.5,15,150.0,15.0,Negative
2022-05-01,Sun,1,5.5,30,180.0,30.0,Negative
2022-06-01,Wed,1,6.0,25,220.0,25.0,Negative
2023-01-01,Sun,1,2.0,-18,200.0,-18.0,Positive
2023-05-01,Mon,1,3.5,25,250.0,25.0,Negative
2023-09-01,Fri,1,1.8,15,280.0,15.0,Negative
2024-01-01,Mon,1,0.5,-10,260.0,-10.0,Positive
2024-05-01,Wed,1,2.5,18,290.0,18.0,Negative
2025-01-01,Wed,1,1.5,5,340.0,5.0,Positive
2025-04-01,Tue,1,4.0,22,370.0,22.0,Negative
2025-05-01,Thu,1,1.2,-8,355.0,-8.0,Positive
2026-01-01,Thu,1,2.8,12,380.0,12.0,Negative
2026-03-01,Sun,1,5.0,45,425.0,45.0,Negative
2026-04-03,Thu,1,6.5,33,458.0,33.0,Negative
2026-04-25,Fri,1,-4.0,-65,393.0,-65.0,Positive
2026-05-01,Thu,1,1.5,7,400.0,7.0,Negative
2026-05-09,Fri,1,4.5,15,415.0,15.0,Negative
